C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST02:40:49

HD142373
--------

Object * chi Her  ---  PM*  ---  OID=@496214   (@@134452,0)  ---  coobox=1299

Coordinates(ICRS,ep=J2000,eq=2000): 15 52 40.5411372117  +42 27 05.451105113 (Opt ) A [0.1250 0.1291 90] 2018yCat.1345....0G
Coordinates(FK4,ep=B1950,eq=1950): 15 50 56.7013038018  +42 35 25.654382581
Coordinates(Gal,ep=J2000,eq=2000): 067.6969735718592  +50.3179385846915
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: 438.816 630.313 [0.252 0.290 90] A 2018yCat.1345....0G
Parallax: 63.1627 [0.1490] A 2018yCat.1345....0G
Radial Velocity: -56.072 [0.0010] A 2018A&A...616A...7S
Redshift: -0.000187 [0.000000] A 2018A&A...616A...7S
cz: -56.07 [0.00] A 2018A&A...616A...7S
Flux U : 5.19 [~] C 2002yCat.2237....0D
Flux B : 5.19 [~] C 2002yCat.2237....0D
Flux V : 4.62 [~] C 2002yCat.2237....0D
Flux G : 4.3655 [0.0037] C 2018yCat.1345....0G
Flux R : 4.14 [~] C 2002yCat.2237....0D
Flux I : 3.82 [~] C 2002yCat.2237....0D
Flux J : 3.49 [~] C 2002yCat.2237....0D
Flux H : 3.14 [~] C 2002yCat.2237....0D
Flux K : 3.12 [~] C 2002yCat.2237....0D
Spectral type: F8VFe-2Hdel-1 C 1989ApJS...71..245K
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (43):
   TIC 157364190                   PLX 3596                        LSPM J1552+4227               
   ASCC 413830                     USNO-B1.0 1324-00326431         * chi Her                     
   * 1 Her                         AG+42 1368                      BD+42 2648                    
   Ci 20 950                       FK5 1416                        GC 21340                      
   GCRV 9153                       GEN# +1.00142373                GJ 602                        
   HD 142373                       HIC 77760                       HIP 77760                     
   HR 5914                         IRAS 15509+4235                 JP11 2672                     
   LFT 1229                        LHS 3127                        LTT 14709                     
   N30 3571                        NLTT 41439                      PMC 90-93 998                 
   PPM 55019                       ROT 2244                        SAO 45772                     
   SKY# 28683                      SPOCS 674                       TD1 18659                     
   TYC 3057-2021-1                 UBV 13499                       UBV M 21020                   
   [HFE83] 1147                    uvby98 100142373                2MASS J15524052+4227052       
   PLX 3596.00                     WISEA J155240.95+422712.1       WEB 13156                     
   Gaia DR2 1384195086792268800                                                                  

Bibcodes  1850-2021 () (486):
  2021A&A...646A..77G  2021AJ....161...20P  2020A&A...635A..46P  2020AJ....159..177E
  2006ApJ...636.1098B  2006ApJ...637.1102R  2006ApJ...639.1166B  2006ApJ...640.1051G
  2006ApJS..162..207A  2006AstL...32..759G  2006MNRAS.371..703S  2006PASJ...58..177S
  2006PASP..118..845H  2005A&A...438..139S  2005AJ....129.1483L  2005AJ....130.2666P
  2005AN....326..269S  2005ApJ...626..411R  2005ApJ...626.1061B  2005ApJS..159..118W
  2005ApJS..159..141V  2005MNRAS.360.1345K  2005Obs...125..355K  2005PASJ...57...13T
  2005PASJ...57...27T  2005PASJ...57...45T  2005PASP..117..485M  2004A&A...418..989N
  2004A&A...423..683S  2004AJ....127.1227C  2004AJ....128.1177V  2004AN....325....3F
  2004ARep...48..185M  2004ApJ...613..312F  2004ApJ...617.1091S  2004ApJS..152..251V
  2004ApJS..152..261W  2004AstL...30..148B  2004MNRAS.349..757L  2004MNRAS.351..707L
  2003A&A...397..159H  2003A&A...397..831S  2003A&A...398..721T  2003A&A...398..731T
  2003A&A...398.1121E  2003A&A...400.1173P  2003A&A...402..433L  2003A&A...407..377K
  2003A&A...407..631B  2003AJ....125.3311K  2003AJ....126.2048G  2003ARep...47..430A
  2003ARep...47..750S  2003ApJ...582.1011S  2003ApJ...599.1139F  2003ChJAA...3..316T
  2002A&A...381..982S  2002A&A...383..137M  2002A&A...385..951B  2002A&A...387..285L
  2002A&A...394..927I  2002ApJS..141..187B  2002ApJS..141..503N  2002JHA....33...45D
  2002MNRAS.335.1005R  2002PASJ...54..275T  2002yCat.2237....0D  2001A&A...365..222G
  2001A&A...365..545H  2001A&A...367..521P  2001A&A...371..943C  2001A&A...373..159C
  2001A&A...376..232M  2001ARep...45..718B  2001BaltA..10..481B  2000A&A...353..722N
  2000A&A...355L...5B  2000A&A...356..238C  2000A&AS..141..491C  2000AJ....119.2445A
  2000ARep...44..178A  2000ExA....10..241B  2000JHA....31..115D  1999A&A...343..545P
  1999A&A...348..897L  1999A&A...352..117R  1999A&AS..139...29G  1999AJ....117.1890M
  1999AJ....117.2213R  1999ApJ...521..753T  1999ApJ...526..890C  1999ApJ...527..879A
  1999ApJS..123..283M  1998A&A...329..943N  1998A&A...334..599G  1998A&A...339..858D
  1998A&AS..128..485M  1998A&AS..129..431H  1998A&AS..129..505B  1998A&AS..131..209A
  1998AJ....115..204R  1998AJ....116.2297P  1998ApJ...492..727B  1998ApJ...500..241G
  1998MNRAS.297..388S  1997A&A...328..551K  1997A&AS..123..473M  1997A&AS..124..299C
  1997A&AS..125...75P  1997AJ....113.1066I  1997ApJ...488..338D  1997ApJ...491..339S
  1997ApJS..111..377W  1997PASP..109..514F  1997PNAOJ...5....1Y  1996A&A...305..284H
  1996A&A...307L..45D  1996A&A...310..331C  1996A&A...314..191G  1996A&AS..117..227A
  1996ApJ...457L..99B  1996ApJ...469..355F  1996BaltA...5....1B  1996KFNT...12b..20Z
  1995A&A...294..165M  1995A&A...297..197A  1995A&AS..109..135M  1995A&AS..114..269D
  1995AJ....110.2319C  1995AJ....110.2408B  1995ApJ...438..269B  1995ApJ...440..210C
  1995ApJ...453..660W  1995ApJS...96..223A  1995GCTP..C......0V  1995MNRAS.273..505H
  1995PASP..107..632J  1995yCat.1098....0L  1994A&AS..107..365A  1994ApJS...94..127F
  1994PASP..106..452T  1994PASP..106.1248G  1993A&A...274..373F  1993A&A...275..101E
  1993A&AS..101..551L  1993A&AS..102...89O  1993A&AS..102..603E  1993AJ....106.2309B
  1993ApJ...408..305L  1993ApJS...86..153G  1993yCat.3135....0C  1992A&A...256..185C
  1992A&AS...95..273C  1992A&AS...95..355C  1992ApJS...82..197F  1992Natur.357..379G
  1992Obs...112....4K  1992PASP..104..270M  1992PPMtO..11..184X  1991A&A...244..335N
  1991A&A...245..567B  1991A&A...248..485D  1991A&A...250..459B  1991A&A...251..457N
  1991A&A...252..203R  1991A&A...252..260H  1991A&AS...88..281D  1991AJ....101..655S
  1991ApJ...368..264A  1991ApJ...380..200S  1991ApJS...76..383D  1991KFNT....7a..64G
  1991MNRAS.253..610L  1991MmSAI..62...69D  1991PPMtO..10..214Y  1990A&A...232..396B
  1990A&A...236..440B  1990A&AS...82..531F  1990A&AS...85..971P  1990A&AS...85..999K
  1990Ap&SS.170...69T  1990ApJ...355..150G  1990ApJ...364..272F  1990ApJS...73...21D
  1990PBeiO..16...18L  1989A&A...218..180J  1989A&A...219..239R  1989A&AS...77..411S
  1989A&AS...78..511P  1989AJ.....98.1842E  1989ApJ...341..421G  1989ApJ...342..823S
  1989ApJ...346..303S  1989ApJS...71..245K  1989MNRAS.239..905F  1989PBeiO..14...12L
  1988A&A...193..193R  1988A&A...203..329J  1988A&A...203..341P  1988A&A...206...63A
  1988A&AS...74..127S  1988ApJ...334..436B  1988IUEEN..29...45.  1988TarOT..92...73L
  1987A&A...178..179G  1987A&A...183..403C  1987A&A...185..233V  1987A&AS...68..193G
  1987AJ.....94.1066C  1987Ap&SS.136..231S  1987ApJ...315..264B  1987ApJ...316..434S
  1987ApJ...317..796H  1987ApJ...318..786A  1987BAICz..38...24H  1987PASP...99..288R
  1987TarOT..84...25M  1986A&A...154..185O  1986A&A...157..278B  1986AJ.....92..910E
  1986ApJ...307..151V  1986ApJ...309..762B  1986ApJS...60..577T  1986NIA86.......17J
  1986PASP...98..561S  1985A&A...147..265O  1985A&A...151..372S  1985A&A...152..357H
  1985A&AS...59..145C  1985AJ.....90.2103S  1985AbaOB..59...83B  1985Ap&SS.117..381M
  1985ApJ...289..269H  1985ApJ...290..284H  1985ApJ...293..551S  1985ApJS...59..197B
  1985BASI...13..157D  1985MNRAS.217...41D  1985PASP...97..247S  1984A&A...133...57M
  1984A&A...138..183B  1984A&AS...57..443O  1984ApJ...277..640G  1984ApJ...279..763N
  1984ApJ...281..719G  1984PASP...96..105H  1984PASP...96..354G  1983A&A...119....1C
  1983A&A...122..225M  1983A&AS...53..223H  1983AJ.....88..610C  1983AJ.....88..623C
  1983Ap&SS..97..151C  1983ApJS...53....1S  1983ApJS...53..643J  1983Obs...103...58S
  1983VilOB..63....3B  1982A&A...113...94D  1982A&A...115..280B  1982A&A...115..357S
  1982A&AS...47..341K  1982ApJ...260..655Z  1982ApJ...263..239S  1982IUE3r......157F
  1981A&A....96...17G  1981A&A....97..145N  1981A&A...100...97G  1981A&A...102..207D
  1981ApJ...246..473B  1981ApJ...247..210B  1981ApJ...248..651D  1981BICDS..21...26B
  1981SvA....25...45D  1980A&A....83..287H  1980A&AS...40..307A  1980A&AS...41..405C
  1980ATsir1144....1F  1980ApJS...43..501C  1979A&A....75...73G  1979A&AS...35..325T
  1979AJ.....84..867C  1979AN....300...99G  1979ApJ...231..762P  1979ApJ...233..211C
  1979LHS...C......0L  1979PASP...91..553S  1979VA.....23..279B  1978A&A....66..335H
  1978A&AS...31..159B  1978A&AS...31..297G  1978ApJ...226..379W  1978PASP...90..267V
  1977A&A....54..779P  1977A&AS...30..213P  1977A&AS...30..349F  1977AcA....27..265L
  1977ApJ...212..462B  1977ApJ...217L.117W  1977ApJS...34..101P  1976ApJ...210..466B
  1976ApJS...30..273A  1976ApJS...31...93M  1976IzKry..55..127B  1975A&AS...19..321H
  1975AJ.....80.1026A  1974A&A....34..263H  1974AJ.....79...34K  1974AJ.....79..616B
  1974ApJ...187..107B  1973A&AS...10..201F  1973ApJ...186..193M  1973MNRAS.164..197B
  1973MNRAS.165...91H  1972AJ.....77..302H  1972ApJ...171...71C  1972ApJ...175..787E
  1972PASP...84..515C  1971A&A....15..337M  1971MNRAS.154..343B  1971MNRAS.155...65B
  1971PASP...83..741E  1970A&A.....4..302J  1970A&A.....6..138N  1970A&AS....1..199H
  1970ApJS...22..117B  1970MNRAS.148..477P  1969AJ.....74..908A  1969ApJ...158..669E
  1969PROE....6..225S  1968AJ.....73..313M  1968ApJ...151..567C  1968ApJ...153..213J
  1968ApJ...153..221W  1968JO.....51..123N  1968PASP...80..717Y  1967AJ.....72.1334C
  1967ApJ...150..551K  1966AJ.....71..709C  1966ApJ...143..336M  1965AJ.....70..353V
  1965ApJ...141..588H  1964ApJ...140.1401W  1964ApJ...140.1636B  1963AJ.....68..352W
  1963ApJ...137.1057S  1963BAN....17...58B  1959ApJ...130..487O  1957ApJ...126..509O
  1956AJ.....61..462E  1956ApJ...123..440S  1955AJ.....60...65E  1955AJ.....60..401E
  1955AnAp...18..292J  1955ApJ...121..118H  1955ApJ...121..653S  1955ApJS....2..195R
  1955LFT...C......0L  1953ApJ...117..313J  1953ApJ...118...92M  1953GCRV..C......0W
  1952AnAp...15..113B  1951ApJ...113..663E  1950ApJ...112..141E  1950ApJ...112..554R
  1950ZA.....27..182G  1927PASP...39..261M                        

Measures (distance:1  Fe_H:55  herschel:2  ISO:62  IUE:7  MK:26  PLX:4  PM:10  ROT:2  V*:1  velocities:13  ):
distance:1Fe_H:55herschel:2ISO:62IUE:7MK:26PLX:4PM:10ROT:2V*:1velocities:13

Notes (0) :

================================================================================

