C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.23CEST15:17:06

HD400
-----

Object HD 400  ---  PM*  ---  OID=@1543921   (@@32064,11)  ---  coobox=11590

Coordinates(ICRS,ep=J2000,eq=2000): 00 08 40.9385088178  +36 37 37.648934145 (Opt ) A [0.0377 0.0223 90] 2018yCat.1345....0G
Coordinates(FK4,ep=B1950,eq=1950): 00 06 06.0549295496  +36 21 02.309536950
Coordinates(Gal,ep=J2000,eq=2000): 113.4430781560804  -25.4555943673287
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -114.069 -124.300 [0.056 0.034 90] A 2018yCat.1345....0G
Parallax: 30.6749 [0.0522] A 2018yCat.1345....0G
Radial Velocity: -15.163 [0.0010] A 2018A&A...616A...7S
Redshift: -0.000051 [0.000000] A 2018A&A...616A...7S
cz: -15.16 [0.00] A 2018A&A...616A...7S
Flux G : 6.0664 [0.0003] C 2018yCat.1345....0G
Flux R : 5.9 [~] E 2003AJ....125..984M
Flux K : 12.36 [0.02] E 2003yCat.2246....0C
Spectral type: F8IV D 2007MNRAS.374..664C
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (33):
   TIC 194303203                   LSPM J0008+3637                 ASCC 453541                   
   2MASS J00084037+3637377         USNO-B1.0 1266-00002314         PLX 13                        
   AG+36 9                         BD+35 8                         GC 131                        
   GCRV 65                         GEN# +1.00000400                GJ 6                          
   GSC 02271-01441                 HD 400                          HIC 699                       
   HIP 699                         HR 17                           IRAS 00060+3620               
   PPM 65041                       ROT 59                          SAO 53677                     
   SKY# 253                        SPOCS 7                         TD1 36                        
   TYC 2271-1441-1                 UBV 90                          UBV M 7161                    
   UBV M 7191                      uvby98 100000400                PLX 13.00                     
   WISEA J000840.83+363736.4       WEB 119                         Gaia DR2 2877522230262577024  

Bibcodes  1850-2021 () (156):
  2020ApJ...898...27S  2020ApJS..247...11R  2019A&A...621A..87B  2019A&A...623A..72K
  2002A&A...394..927I  2002ApJS..141..503N  2002PASJ...54.1041T  2001A&A...367..521P
  2001A&A...369.1048P  2001A&A...371..943C  2001A&A...373..159C  2001ARep...45..100S
  2000A&A...353..722N  2000A&A...356..238C  2000A&A...357..931D  2000A&A...364..249M
  2000A&AS..141..491C  1999A&A...345..936L  1999A&A...352..117R  1999A&AS..139..433D
  1999AJ....118.2483C  1999ApJ...521..753T  1999ApJ...527..879A  1998A&A...329..943N
  1998A&A...338..161F  1998A&A...338..637B  1998A&AS..129..431H  1998AJ....115.2397E
  1997A&A...317..701D  1997A&A...323..909F  1997A&AS..124..299C  1996A&A...314..191G
  1995A&AS..114..269D  1995AJ....109.2204T  1995GCTP..C......0V  1994Ap&SS.218....1M
  1993A&A...273..482G  1993A&A...275..101E  1993A&AS..101..551L  1993A&AS..102..603E
  1993yCat.3135....0C  1992AJ....104.1961M  1991A&A...248..485D  1991A&A...252..203R
  1991A&AS...88..281D  1991ApJ...375..716H  1991ApJ...375..722S  1991ApJS...76..383D
  1991MNRAS.253..610L  1990ApJ...354..310B  1989AJ.....97..510M  1987BICDS..32...37M
  1986ApJ...310..360W  1986BICDS..31..131H  1985ApJ...290..307S  1985PASP...97..707W
  1984A&A...130..353R  1984BICDS..26...17H  1983ApJ...274..794W  1983ApJS...53..643J
  1981A&AS...43..191H  1981BICDS..21...35H  1979PASP...91...83C  1978A&A....66..335H
  1976PASP...88...95C  1973MNRAS.165...91H  1973PASP...85..542E  1972ApJ...175..787E
  1971MNRAS.155...65B  1970AJ.....75...35R  1970ApJS...19..387A  1967ApJ...150..551K
  1966AJ.....71..709C  1953GCRV..C......0W  1950AJ.....55...14W  1938CoPer...1...10H

Measures (distance:1  Fe_H:31  IUE:2  MK:1  PLX:4  PM:7  ROT:5  velocities:11  ):
distance:1Fe_H:31IUE:2MK:1PLX:4PM:7ROT:5velocities:11

Notes (0) :

================================================================================

