C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST11:48:03

HD170153
--------

Object * chi Dra  ---  SB*  ---  OID=@314897   (@@7878,2)  ---  coobox=862

Coordinates(ICRS,ep=J2000,eq=2000): 18 21 03.38255  +72 43 58.2518 (Opt ) A [9.06 8.26 88] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 18 21 57.49103  +72 42 42.0082
Coordinates(Gal,ep=J2000,eq=2000): 103.45634735  +28.05705682 
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: 531.21 -349.71 [1.03 0.94 0] A 2007A&A...474..653V
Parallax: 124.11 [0.87] A 2007A&A...474..653V
Radial Velocity: 31.90 [0.14] A 2004A&A...424..727P
Redshift: 0.000106 [0.000000] A 2004A&A...424..727P
cz: 31.90 [0.14] A 2004A&A...424..727P
Flux U : 4.010 [0.010] C 1984A&AS...57..357O
Flux B : 4.070 [0.007] C 1993A&AS..100..591O
Flux V : 3.580 [0.009] C 1993A&AS..100..591O
Flux G : 3.387717 [0.004770] C 2022yCat.1355....0G
Flux R : 3.14 [~] C 2002yCat.2237....0D
Flux I : 2.83 [~] C 2002yCat.2237....0D
Flux J : 2.50 [~] C 2002yCat.2237....0D
Flux H : 2.22 [~] C 2002yCat.2237....0D
Flux K : 2.18 [~] C 2002yCat.2237....0D
Spectral type: F7V C 2001AJ....121.2148G
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (65):
   HIP 89937                            Gaia DR3 2266693630693936512         TIC 341873045                      
   PLX 4245                             SBC9 1058                            LSPM J1821+7243                    
   ASCC 49345                           USNO-B1.0 1627-00135815              * chi Dra A                        
   * chi Dra                            * 44 Dra                             1RXS J182103.0+724342              
   2E 1822.0+7242                       2E 4068                              AG+72 496                          
   BD+72 839                            CCDM J18211+7245A                    CSI+72 839 1                       
   Ci 20 1087                           FK5 695                              GAT 106                            
   GC 25122                             GCRV 10880                           GEN# +1.00170153                   
   GJ 713                               HD 170153                            HIC 89937                          
   HR 6927                              IDS 18229+7241 A                     IRC +70144                         
   JP11 2982                            LFT 1413                             LHS 3379                           
   LTT 15438                            N30 4088                             NLTT 46426                         
   NSV 10749                            PMC 90-93 494                        PPM 9830                           
   RAFGL 2144S                          ROT 2608                             RX J1821.0+7243                    
   SAO 9087                             SBC7 686                             SKY# 33473                         
   TD1 22471                            UBV 15693                            UBV M 22972                        
   USNO 878                             2MASS J18210342+7243582              TYC 4437-1491-1                    
   WDS J18211+7244Aa,Ab                 GJ 713 A                             Zkh 274                            
   AKARI-IRC-V1 J1821042+724356         IRAS 18220+7242                      WDS J18211+7244A                   
   ** LAB 5                             ** BUP 182A                          GJ 713 B                           
   * chi Dra B                          [TSA98] J182101.59+724357.01         WISEA J182104.61+724354.5          
   WEB 15359                            Gaia DR2 2266693630693473024                                            

Bibcodes  1850-2023 () (398):
  2023AJ....165..133W  2021A&A...649A...6G  2021A&A...649A.112V  2021A&A...650A.201R
  2002JHA....33...45D  2002KFNT...18f.535Z  2002yCat.2237....0D  2001A&A...365..222G
  2001A&A...367..297A  2001A&A...367..521P  2001A&A...371..943C  2001A&A...373..159C
  2001A&A...379..634G  2001AJ....121.2148G  2001BCrAO..97....1B  2001BaltA..10..481B
  2000A&A...353..722N  2000A&AS..141..491C  2000A&AS..145..215P  2000AJ....119.3084H
  2000JHA....31..115D  1999A&A...341..121S  1999A&A...352..117R  1999A&AS..135..319H
  1999A&AS..136..419P  1999A&AS..139...29G  1999AJ....117.1042G  1999AJ....118.2483C
  1999ApJ...521..613R  1999ApJ...526..928H  1998A&A...330..585M  1998A&AS..132..155H
  1998AJ....115..325H  1998AJ....115.2587T  1998AJ....116.1501G  1998ApJ...501..624G
  1998ApJ...507..805I  1998KFNT...14c.274K  1998PAZh...24..337S  1997A&A...318..215S
  1997A&A...323L..49P  1997A&AS..122..571M  1997A&AS..124..299C  1997AJ....113.2246R
  1997ARep...41..621B  1997ApJS..111..377W  1997ApJS..111..445W  1997MNRAS.284..341M
  1997Obs...117...82G  1997PNAOJ...5....1Y  1996BaltA...5..103O  1996MNRAS.280.1155B
  1996S&T....92e..28M  1995A&AS..109..177W  1995A&AS..114..269D  1995A&AS..114..465K
  1995ApJ...439..405A  1995PASP..107..632J  1995yCat.1098....0L  1994A&A...286.1006O
  1994AJ....107..306H  1994AJ....108.2299H  1994ApJS...93..287W  1994ApJS...94..687W
  1994KFNT...10b..68Z  1994MNRAS.267..840H  1994PASP..106..452T  1993A&A...273..482G
  1993A&AS..100..591O  1993A&AS..101..551L  1993AJ....105.1571H  1993AJ....105.1860C
  1993ApJ...408..305L  1993ApJS...86..153G  1993LAstr.107..110B  1993yCat.3135....0C
  1992A&A...261..499S  1992A&AS...95..273C  1992ApJ...401..265M  1992PPMtO..11..184X
  1991A&A...248..485D  1991A&A...252..260H  1991A&AS...88..281D  1991A&AS...89..415O
  1991ApJ...368..241C  1991ApJ...380..200S  1991KFNT....7a..64G  1991PASP..103..439G
  1990A&A...236..440B  1990A&AS...85..971P  1990AJ.....99..965M  1990AZh....67.1261T
  1990ApJS...73...21D  1990BICDS..38..175K  1990PBeiO..16...18L  1990SoSAO..65....5B
  1989A&A...218..180J  1989A&AS...77..497B  1989A&AS...78..511P  1989AJ.....97..510M
  1989AJ.....98.1768C  1989AZh....66.1024G  1989ApJ...342..823S  1989ApJ...346..303S
  1989BICDS..36...27G  1989VilOB..84....9C  1988A&A...201..259F  1988A&A...203..329J
  1988A&A...203..341P  1988AJ.....95.1484B  1988AJ.....96.1072H  1988Ap&SS.146...99Q
  1988LAstr.102..512B  1987A&AS...68..211O  1987A&AS...68..259H  1987A&AS...71...57B
  1987A&AS...71..561O  1987AJ.....93..688M  1987AJ.....93.1236T  1987ApJ...315..264B
  1987ApJ...317..796H  1987TarOT..84...25M  1986A&A...157..278B  1986A&AS...65..405O
  1986AZh....63..606D  1986ApJ...304..365Z  1986ApJ...307..151V  1986ApJ...310..360W
  1986ApJS...62..147B  1985A&AS...59..145C  1985A&AS...59..461O  1985A&AS...61..331O
  1985ARA&A..23...59M  1985AZh....62.1132G  1985AbaOB..58..327B  1985AbaOB..59...83B
  1985ApJ...290..307S  1985ApJS...59..197B  1985IAUS..111...97M  1985PASP...97..643W
  1985PASP...97..707W  1984A&AS...57...31B  1984A&AS...57..213H  1984A&AS...57..357O
  1984A&AS...58..601P  1984ApJ...277..640G  1984ApJ...281..719G  1984ApJS...54..251M
  1984ApJS...54..421G  1984IUE84......507H  1984IzKry..69...71N  1984MNRAS.207..809T
  1984PAZh...10..229B  1983A&A...119....1C  1983A&AS...52..131O  1983AJ.....88..610C
  1983AJ.....88..623C  1983ApJ...266..747V  1983ApJS...51..309M  1983ApJS...53..643J
  1983IzKry..67...13B  1982A&A...114..170M  1982A&A...115..357S  1982A&AS...47..341K
  1982A&AS...48..503R  1982ApJ...258..628B  1982ApJ...260..655Z  1982ApJS...48..273M
  1982ApJS...49..267M  1981A&AS...44...47H  1981A&AS...46..193H  1981ApJ...247..210B
  1981ApJS...47..243H  1981BICDS..20...28C  1981BICDS..21...26B  1981PASP...93..777G
  1981SvA....25...45D  1980A&A....86..295B  1980A&AS...41..405C  1980A&AS...42..185B
  1980AJ.....85..242T  1980AJ.....85.1265M  1980ApJS...43..501C  1979AJ.....84..867C
  1979AN....300...99G  1979ApJ...230..497M  1979ApJ...231..762P  1979ApJ...233..211C
  1979ApJS...39..195C  1979LHS...C......0L  1979PASP...91..553S  1979RMxAA...4..233S
  1979RMxAA...4..307S  1979VKha..190...52Z  1978A&AS...31..159B  1978PDAO...15..121B
  1977A&A....54..779P  1977A&A....55..117C  1977A&A....55..121C  1977A&AS...27..267G
  1977A&AS...29..195D  1977A&AS...30..349F  1977AJ.....82..989S  1977ApJ...211..836Y
  1977ApJ...212..462B  1977ApJ...215..159M  1977S&T....53..346M  1976ApJ...203..680L
  1976ApJ...208..414Z  1976ApJS...30..273A  1976PASP...88...95C  1976PASP...88..317M
  1975A&A....38..417P  1975A&A....41..287D  1975A&AS...19...91L  1975AJ.....80..955C
  1974ApJ...187..107B  1974ApJ...194L.147L  1974PASP...86..448B  1973A&A....23...63S
  1973A&A....29..151A  1973AJ.....78...95B  1971AJ.....76..324B  1971AJ.....76..890M
  1970A&A.....7..408C  1970ApJ...162..891S  1970ApJS...19..281B  1970ApJS...22..117B
  1969PASP...81..339B  1968AnAp...31..269S  1968ApJ...152..123V  1968ApJ...153..213J
  1968ApJ...153..557B  1968MmSAI..39..163P  1968MmSAI..39..593F  1968PASP...80..717Y
  1967AJ.....72.1334C  1967AnAp...30..211S  1967AnAp...30..685S  1967POHP....9....8S
  1966AnAp...29..601S  1966ApJ...144.1101M  1966JO.....49..417R  1966MNRAS.132..485F
  1964ApJ...140..853P  1963AJ.....68..352W  1963ApJ...137.1057S  1963BAN....17...58B
  1960AnAp...23..278C  1959ApJ...129..362B  1959ApJ...130..487O  1959ApJ...130..507P
  1958JO.....41..100B  1958JO.....41..105B  1957AJ.....62..205K  1957AJ.....62Q.276A
  1957SvA.....1..192B  1956AJ.....61..462E  1955AJ.....60...65E  1955AJ.....60..401E
  1955AnAp...18..292J  1955ApJ...121..118H  1955ApJ...121..653S  1955LFT...C......0L
  1953AnAp...16..417H  1953ApJ...117..313J  1953ApJ...118...92M  1953GCRV..C......0W
  1952AnAp...15..201C  1952ApJ...116..122R  1951ApJ...113..663E  1950ApJ...112..141E
  1917ApJ....46..313A  1915PAllO...3..153J  1908ApJ....27..301K  1905ApJ....21..297L
  1900ApJ....11..131W  1898ApJ.....8..292C                        

Measures (distance:1  Fe_H:16  herschel:2  ISO:2  IUE:12  MK:23  PLX:3  PM:9  ROT:5  velocities:15  ):
distance:1Fe_H:16herschel:2ISO:2IUE:12MK:23PLX:3PM:9ROT:5velocities:15

Notes (1) :
(S) 30-Jun-2014 - cl    ref:~    obj:* chi Dra
    * chi Dra B = GJ 713 B = WDS J18211+7244Ab. Not to be confused with \object{WDS J18211+7244B}

================================================================================

