C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST01:06:05

HD173524
--------

Object * c Dra  ---  SB*  ---  OID=@285800   (@@10380,10)  ---  coobox=366

Coordinates(ICRS,ep=J2000,eq=2000): 18 42 37.9530997  +55 32 22.043388 (Opt ) A [0.16 0.14 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 18 41 39.8008698  +55 29 17.605992
Coordinates(Gal,ep=J2000,eq=2000): 084.9393363109  +23.2852744773
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -3.01 23.02 [0.21 0.20 90] A 2007A&A...474..653V
Parallax: 9.58 [0.16] A 2007A&A...474..653V
Radial Velocity: -30.0 [0.9] E 1953GCRV..C......0W
Redshift: -0.000100 [0.000003] E 1953GCRV..C......0W
cz: -30.00 [0.90] E 1953GCRV..C......0W
Flux B : 4.943 [0.014] D 2000A&A...355L..27H
Flux V : 5.026 [0.009] D 2000A&A...355L..27H
Flux G : 4.9835 [0.0026] C 2018yCat.1345....0G
Flux J : 5.145 [0.037] C 2003yCat.2246....0C
Flux H : 5.181 [0.031] C 2003yCat.2246....0C
Flux K : 5.174 [0.018] C 2003yCat.2246....0C
Spectral type: A0IIIpHgMn C 1995ApJS...99..135A
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (45):
   TIC 392569763                   * c Dra                         PLX 4323                      
   SBC9 1077                       * 46 Dra                        2E 4122                       
   AG+55 1189                      BD+55 2107                      BDS 8751 A                    
   CCDM J18426+5534A               CSI+55 2107 1                   FK5 3491                      
   GC 25635                        GCRV 11175                      GEN# +1.00173524              
   GSC 03922-02095                 HD 173524                       HIC 91755                     
   HIP 91755                       HR 7049                         IDS 18407+5526 A              
   PMC 90-93 1416                  PPM 36781                       ROT 2652                      
   SAO 31119                       SBC7 699                        SKY# 34338                    
   TD1 23120                       TYC 3922-2095-1                 UBV 15946                     
   UBV M 23196                     YZ 55 9933                      uvby98 100173524              
   2MASS J18423795+5532221         2E 1841.6+5529                  WDS J18426+5532Aa,Ab          
   Renson 48580                    AKARI-IRC-V1 J1842379+553222    IRAS 18416+5529               
   WDS J18426+5532A                ** ISO 7                        Gaia DR1 2147865728290660864  
   WEB 15786                       Gaia DR2 2147865732587997056    [TSA98] J184237.68+553239.27  

Bibcodes  1850-2021 () (176):
  2021MNRAS.501.3568C  2020MNRAS.496..832C  2019A&A...623A..72K  2019MNRAS.490.3158C
  1984A&A...135..393G  1984A&AS...55..479A  1984A&AS...57...55S  1984A&AS...58..601P
  1984ApJ...286..725L  1984ApJS...54..421G  1984MNRAS.206...85G  1983ApJ...271..264G
  1983ApJ...274..261S  1982A&AS...47..341K  1982Ap&SS..87..377V  1982ApJ...263L..59C
  1982SvA....26..328L  1981A&AS...44...47H  1981A&AS...44..137S  1981ApJ...250..687L
  1980A&A....81..142J  1980A&AS...41..405C  1980A&AS...42..115J  1980Ap&SS..68..283K
  1980ApJ...242..684C  1980ApJS...43..501C  1979A&AS...36...25Y  1979A&AS...38...89J
  1979AJ.....84..857A  1979AJ.....84.1603A  1979ApJ...232L.111C  1979PASJ...31..473T
  1978A&A....63..155J  1978A&A....66..187V  1978ApJS...37..371W  1978PASP...90..492L
  1978PDAO...15..121B  1977A&AS...30...71C  1977ApJ...213..451C  1977PASP...89..187E
  1977PASP...89..519G  1976AN....297..169M  1976AN....297..229Z  1976ApJ...204..131W
  1976PDAO...14..379A  1975ApJ...198..379C  1975PASP...87..513C  1974ARA&A..12..257P
  1974PASP...86..183D  1974PASP...86..241E  1973AJ.....78..192W  1973ApJ...181..811D
  1973ApJ...185..577L  1973ApJS...25..137A  1972A&AS....5..109C  1972ApJ...175..779A
  1972ApJ...176..671A  1972BAICz..23..297B  1971A&A....12....5H  1971ApJS...23..213N
  1971ApJS...23..421H  1970A&A.....7..213C  1970A&AS....1..165J  1970A&AS....1..189F
  1970ApJ...160.1077C  1970MNRAS.147...75D  1969ApJS...18...47H  1967JO.....50..425B
  1966GeoOM..21....0C  1965JO.....48..211B  1960JO.....43..129B  1959JO.....42...45B
  1958ApJS....3..141B  1958ZA.....45...35J  1953GCRV..C......0W  1952ZA.....31..256K

Measures (distance:1  Fe_H:5  IUE:4  MK:3  PLX:4  PM:3  ROT:4  velocities:10  ):
distance:1Fe_H:5IUE:4MK:3PLX:4PM:3ROT:4velocities:10

Notes (0) :

================================================================================

