C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST06:12:36

HD10360
-------

Object * p Eri A  ---  PM*  ---  OID=@3181778   (@@74248,13)  ---  coobox=23352

Coordinates(ICRS,ep=J2000,eq=2000): 01 39 47.8126958280  -56 11 35.944312380 (Opt ) A [0.0269 0.0312 90] 2020yCat.1350....0G
Coordinates(FK4,ep=B1950,eq=1950): 01 37 54.4000974904  -56 26 47.477741160
Coordinates(Gal,ep=J2000,eq=2000): 289.5917639677327  -59.6648433272494
hierarchy counts: #parents=2, #children=0, #siblings=0
Proper motions: 262.615 14.961 [0.032 0.036 90] A 2020yCat.1350....0G
Parallax: 122.1088 [0.0365] A 2020yCat.1350....0G
Radial Velocity: 21.59 [0.16] A 2018yCat.1345....0G
Redshift: 0.000072 [0.000001] A 2018yCat.1345....0G
cz: 21.59 [0.16] A 2018yCat.1345....0G
Flux B : 6.549 [0.015] D 2000A&A...355L..27H
Flux V : 5.685 [0.009] D 2000A&A...355L..27H
Flux G : 5.508302 [0.002796] C 2020yCat.1350....0G
Flux R : 6.36 [0.33] E 2012yCat.1322....0Z
Flux J : 3.57 [10.00] E 2003yCat.2246....0C
Flux K : 3.56 [0.27] D 2003yCat.2246....0C
Spectral type: K2V C 2006AJ....132..161G
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (30):
   Gaia DR3 4911306239828325632         TIC 231005905                        CCDM J01398-5612B                  
   CD-56 329                            CPC 20 455                           CSI-56 329 43                      
   GCRV 938                             GEN# +1.00010360                     GJ 66 B                            
   HD 10360                             HR 486                               IDS 01360-5642 B                   
   LTT 903                              PPM 331230                           PPM 766138                         
   SPOCS 91                             UBV M 8357                           Zkh 30                             
   uvby98 100010360                     TYC 8478-1394-2                      NLTT 5589                          
   WDS J01398-5612A                     USNO-B1.0 0338-00012416              ** DUN 5A                          
   Gaia DR2 4911306239828325632         * p Eri A                            AKARI-IRC-V1 J0139478-561137       
   UCAC4 170-001607                     2MASS J01394778-5611361              WEB 1664                           

Bibcodes  1850-2023 () (148):
  2023AJ....165..133W  2022A&A...659A.104M  2022A&A...665A..75G  2021A&A...649A...6G
  1965MmSAI..36..215C  1962AJ.....67..599W  1962BAN....16..178V  1959ApJ...130..487O
  1957AJ.....62..205K  1957JO.....40...93W  1957MNRAS.117..534E  1955AJ.....60...65E
  1955AJ.....60..401E  1954MNRAS.114..635F  1953GCRV..C......0W  1951AnAp...14...85B

Measures (distance:2  Fe_H:7  herschel:2  MK:11  PLX:2  PM:2  ROT:1  velocities:6  ):
distance:2Fe_H:7herschel:2MK:11PLX:2PM:2ROT:1velocities:6

Notes (0) :

================================================================================

