C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST11:12:18

HD141003
--------

Object * bet Ser  ---  PM*  ---  OID=@2743279   (@@49585,0)  ---  coobox=17617

Coordinates(ICRS,ep=J2000,eq=2000): 15 46 11.2551806454  +15 25 18.549468647 (Opt ) A [0.2107 0.3136 90] 2020yCat.1350....0G
Coordinates(FK4,ep=B1950,eq=1950): 15 43 52.6595128572  +15 34 37.572415408
Coordinates(Gal,ep=J2000,eq=2000): 025.9799762887584  +47.8723044843608
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: 65.958 -47.791 [0.216 0.257 90] A 2020yCat.1350....0G
Parallax: 21.5924 [0.3070] A 2020yCat.1350....0G
Radial Velocity: 0.60 [0.3] A 2006AstL...32..759G
Redshift: 0.000002 [0.000001] A 2006AstL...32..759G
cz: 0.60 [0.30] A 2006AstL...32..759G
Flux U : 3.81 [~] C 2002yCat.2237....0D
Flux B : 3.73 [~] C 2002yCat.2237....0D
Flux V : 3.67 [~] C 2002yCat.2237....0D
Flux G : 3.653779 [0.003328] C 2022yCat.1355....0G
Flux R : 3.61 [~] C 2002yCat.2237....0D
Flux I : 3.58 [~] C 2002yCat.2237....0D
Flux J : 3.440 [0.290] D 2003yCat.2246....0C
Flux H : 3.539 [0.276] D 2003yCat.2246....0C
Flux K : 3.546 [0.318] D 2003yCat.2246....0C
Spectral type: A2IV C 1987ApJS...65..581G
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (42):
   HIP 77233                            Gaia DR3 1195823284391343104         TIC 119885027                      
   PLX 3569                             * bet Ser                            * 28 Ser                           
   ADS 9778 A                           AG+15 1580                           BD+15 2911                         
   CCDM J15461+1525A                    CSI+15 2911 1                        FK5 583                            
   GC 21194                             GCRV 9094                            GEN# +1.00141003A                  
   GSC 01495-01994                      HD 141003                            HGAM 641                           
   HIC 77233                            HR 5867                              IDS 15416+1544 A                   
   JP11 2645                            N30 3542                             PMC 90-93 414                      
   PPM 131676                           ROT 2222                             SAO 101725                         
   SKY# 28510                           SRS 30583                            TD1 18546                          
   TYC 1495-1994-1                      UBV 13431                            YZ 15 5643                         
   WDS J15462+1525A                     2MASS J15461125+1525185              IRAS 15438+1534                    
   AKARI-IRC-V1 J1546112+152518         ** STF 1970A                         NAME Chow                          
   uvby98 100141003                     WEB 13088                            Gaia DR2 1195823284390905728       

Bibcodes  1850-2023 () (176):
  2021A&A...649A.112V  2021AJ....162..198B  2021ApJS..254...42B  2021MNRAS.504.3730C
  1989AJ.....97.1159S  1988A&A...203..341P  1988A&AS...74..127S  1988AJ.....96..635E
  1987AISAO..25...60G  1987AJ.....93..864J  1987AJ.....93..920S  1987ApJS...65..581G
  1987BICDS..32...37M  1986A&A...162...54P  1986AISAO..22....3G  1986MNRAS.223..443L
  1985A&A...153..273L  1985AbaOB..59...83B  1985ApJS...57...63M  1984AJ.....89.1350E
  1983TrSht..55...84V  1981LowOB...9..165B  1981PASP...93...97G  1980A&AS...40..207C
  1980PASP...92..771G  1978A&AS...31..159B  1978PASP...90..429L  1977A&AS...30....1C
  1977AJ.....82..431L  1975A&A....43..111H  1972AN....294....1J  1972PASP...84..584L
  1971A&A....12....5H  1970A&AS....1..165J  1970A&AS....1..189F  1970AJ.....75..718G
  1969AJ.....74..139P  1968JO.....51..193A  1967AJ.....72..899W  1967JO.....50...83B
  1967MmRAS..72...35A  1966AJ.....71..615W  1966AJ.....71..709C  1966JO.....49..417R
  1963AJ.....68..483E  1963PASP...75..248B  1960AJ.....65..581K  1960MNRAS.120p.563E
  1960MNRAS.121...17W  1959ApJ...130..159O  1958AJ.....63..118A  1958MNRAS.118...65E
  1957AJ.....62...45E  1957AJ.....62..205K  1957ApJ...126..113J  1957MNRAS.117..449D
  1956AJ.....61..361E  1955AJ.....60...65E  1955AnAp...18..292J  1954AJ.....59..233M
  1954ApJ...119..146S  1954ApJ...120..196J  1953AnAp...16..417H  1953ApJ...117..313J
  1953ApJ...117..361J  1953ApJ...118..502K  1953GCRV..C......0W  1952AnAp...15..201C
  1952ApJ...115..157W  1951ApJ...113..663E  1926ApJ....64..262D  1922ApJ....55...85L

Measures (distance:2  Fe_H:3  ISO:1  IUE:6  MK:3  PLX:4  PM:4  ROT:5  velocities:10  ):
distance:2Fe_H:3ISO:1IUE:6MK:3PLX:4PM:4ROT:5velocities:10

Notes (0) :

================================================================================

