C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST12:35:31

HD207978
--------

Object * 15 Peg  ---  PM*  ---  OID=@1507935   (@@31594,0)  ---  coobox=9623

Coordinates(ICRS,ep=J2000,eq=2000): 21 52 29.9168018496  +28 47 36.750679764 (Opt ) A [0.0362 0.0431 90] 2020yCat.1350....0G
Coordinates(FK4,ep=B1950,eq=1950): 21 50 15.8151814543  +28 33 31.408406046
Coordinates(Gal,ep=J2000,eq=2000): 082.0508623888225  -19.5377731842312
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -59.169 -61.603 [0.062 0.058 90] A 2020yCat.1350....0G
Parallax: 37.0591 [0.0525] A 2020yCat.1350....0G
Radial Velocity: 18.921 [0.0019] A 2018A&A...616A...7S
Redshift: 0.000063 [0.000000] A 2018A&A...616A...7S
cz: 18.92 [0.00] A 2018A&A...616A...7S
Flux U : 5.82 [~] C 2002yCat.2237....0D
Flux B : 5.95 [~] C 2002yCat.2237....0D
Flux V : 5.53 [~] C 2002yCat.2237....0D
Flux G : 5.393223 [0.002826] C 2020yCat.1350....0G
Flux J : 4.63 [~] C 2002yCat.2237....0D
Flux H : 4.441 [0.036] C 2003yCat.2246....0C
Flux K : 4.332 [0.016] C 2003yCat.2246....0C
Spectral type: F2V C 1995ApJS...99..135A
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (29):
   Gaia DR3 1896396703077703936         TIC 326202925                        PLX 5288                           
   * 15 Peg                             AG+28 2571                           BD+28 4215                         
   GC 30625                             GCRV 13741                           GEN# +1.00207978                   
   GJ 4234                              GSC 02214-02037                      HD 207978                          
   HIC 107975                           HIP 107975                           HR 8354                            
   PPM 113698                           ROT 3183                             SAO 90065                          
   SKY# 41690                           TD1 28543                            TYC 2214-2037-1                    
   UBV M 25978                          YPAC 212                             YZ 28 12966                        
   uvby98 100207978                     2MASS J21522991+2847367              PLX 5288.00                        
   WEB 19470                            Gaia DR2 1896396703077703936                                            

Bibcodes  1850-2023 () (239):
  2023AJ....165...39F  2023AJ....165..114Z  2023AJ....165..164B  2022A&A...658A..47K
  2004A&A...423..683S  2004A&A...425..187T  2004AJ....127.1227C  2004AJ....128.1177V
  2004ApJ...613..312F  2004ApJ...617.1091S  2004ApJS..152..251V  2004AstL...30..148B
  2004MNRAS.349..757L  2004MNRAS.350.1127A  2004MNRAS.351..487P  2003A&A...398..721T
  2003A&A...398..731T  2003A&A...404..187G  2003A&A...405..723D  2002A&A...381..500K
  2002A&A...393..897R  2002A&A...394..927I  2002AJ....123..404F  2002ApJ...573..614T
  2002yCat.2237....0D  2001A&A...367..521P  2001A&A...369.1048P  2001A&A...373..159C
  2001A&A...376..232M  2001ARep...45..100S  2001ARep...45..718B  2000A&A...356..238C
  2000A&A...357..931D  2000A&A...358..850R  2000AJ....120.1841F  1999A&A...345..936L
  1999A&A...352..117R  1999A&AS..139..335A  1999A&AS..139..433D  1999AJ....117.2213R
  1999AJ....118.2483C  1999ApJ...521..753T  1999ApJ...524..295S  1999ApJ...527..879A
  1998A&A...329..943N  1998A&A...338..161F  1998A&AS..129..431H  1998A&AS..131..209A
  1998AJ....115..204R  1998AJ....115.2397E  1998AJ....116.2297P  1998ApJ...498L.147D
  1998MNRAS.297..388S  1997A&A...317..701D  1997A&A...323L..49P  1997A&A...325.1088B
  1997A&AS..124..299C  1997AJ....114..825E  1997ApJ...491..339S  1997ApJS..111..377W
  1997PASP..109..759W  1996A&A...305..284H  1996A&A...314..191G  1996A&AS..118..239H
  1996ApJ...457L..99B  1996BaltA...5....1B  1995A&A...300..751A  1995A&A...301..492F
  1995A&AS..114..269D  1995AJ....109.2204T  1995ApJ...438..269B  1995ApJ...453..660W
  1995ApJS...99..135A  1995GCTP..C......0V  1995PASP..107..734T  1994A&A...285..585F
  1994A&A...285..943C  1994A&A...291..895A  1994A&AS..106..257O  1994ApJS...94..687W
  1994IzKry..91....5G  1994PASP..106..452T  1993A&A...275..101E  1993A&AS..101..551L
  1993A&AS..102...89O  1993A&AS..102..603E  1993yCat.3135....0C  1992A&AS...95..273C
  1992AJ....104.1961M  1992ApJS...82..197F  1991A&A...244..335N  1991A&A...252..260H
  1991ApJS...76..383D  1991NSC3..C......0G  1990A&A...236..440B  1990ApJ...354..310B
  1990ApJ...364..272F  1990ApJS...73...21D  1990BICDS..38..137R  1990VilOB..85...30L
  1989PBeiO..14...12L  1987AJ.....93..183M  1987AJ.....94.1066C  1987ApJ...317..796H
  1986ApJ...303..724B  1986PASP...98..561S  1985A&AS...59..145C  1985ARA&A..23..379B
  1985ApJ...290..289T  1984A&A...130..353R  1984ApJ...279..220T  1984ApJ...279..763N
  1984Sci...225..793V  1983A&A...119....1C  1983A&A...122..225M  1983AJ.....88..623C
  1983ApJ...275..752B  1982A&AS...48..503R  1981A&A...100...97G  1981ApJ...246..473B
  1981ApJ...250..262C  1981ApJ...250..276V  1981BICDS..21...26B  1980A&A....83..287H
  1980A&A....85...93M  1980A&AS...41..405C  1980Ap&SS..69..401F  1980ApJ...242..684C
  1979A&A....75...73G  1979ATsir1070....6M  1979ApJ...233..211C  1979PASP...91...83C
  1979PASP...91..553S  1978A&AS...31..297G  1978A&AS...34..441P  1978ApJ...226..379W
  1978PASP...90..267V  1977A&A....54..779P  1977ATsir.973....1M  1976PASP...88...95C
  1973PASP...85..542E  1972ApJ...172..631A  1970AJ.....75...35R  1970ApJS...19..281B
  1969AJ.....74..916H  1968ApJ...153..221W  1968JO.....51..123N  1967ApJ...150..551K
  1966AJ.....71..709C  1966ApJ...144..695W  1953GCRV..C......0W            

Measures (distance:2  Fe_H:52  ISO:1  IUE:1  MK:4  PLX:5  PM:4  ROT:9  V*:1  velocities:12  ):
distance:2Fe_H:52ISO:1IUE:1MK:4PLX:5PM:4ROT:9V*:1velocities:12

Notes (0) :

================================================================================

