C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST12:34:16

HD206936
--------

Object * mu. Cep  ---  s*r  ---  OID=@157494   (@@7764,0)  ---  coobox=601

Coordinates(ICRS,ep=J2000,eq=2000): 21 43 30.4610574  +58 46 48.160181 (Opt ) A [0.16 0.14 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 21 41 58.5049492  +58 33 00.718644
Coordinates(Gal,ep=J2000,eq=2000): 100.5952421009  +04.3149777036
hierarchy counts: #parents=1, #children=0, #siblings=0
Proper motions: 5.36 -3.51 [0.17 0.18 90] A 2007A&A...474..653V
Parallax: 0.55 [0.20] A 2007A&A...474..653V
Radial Velocity: 23.00 [0.58] A 2008A&A...485..303M
Redshift: 0.000077 [0.000002] A 2008A&A...485..303M
cz: 23.00 [0.58] A 2008A&A...485..303M
Flux U : 8.85 [~] C 2002yCat.2237....0D
Flux B : 6.43 [~] C 2002yCat.2237....0D
Flux V : 4.08 [~] C 2002yCat.2237....0D
Flux G : 2.3269 [0.0051] C 2018yCat.1345....0G
Flux R : 1.98 [~] C 2002yCat.2237....0D
Flux I : 0.22 [~] C 2002yCat.2237....0D
Flux J : -0.52 [~] C 2002yCat.2237....0D
Flux H : -1.27 [~] C 2002yCat.2237....0D
Flux K : -1.72 [~] C 2002yCat.2237....0D
Spectral type: M2-Ia B 1989ApJS...71..245K
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (42):
   Gaia DR3 2202630001603369856         TIC 260614141                        NAME Herschel's Garnet Star        
   NAME Erakis                          PLX 5252                             * mu. Cep                          
   AAVSO 2140+58                        ADS 15271 A                          AG+58 1378                         
   BD+58 2316                           CCDM J21435+5847A                    CSI+58 2316 1                      
   DO 40029                             GC 30440                             GCRV 13658                         
   GSC 03979-01616                      HD 206936                            HIC 107259                         
   HIP 107259                           HR 8316                              IDS 21404+5819 A                   
   IRAS 21419+5832                      IRC +60325                           JP11 3398                          
   PPM 39787                            RAFGL 2802                           SAO 33693                          
   SKY# 41413                           SV* VV 469                           TYC 3979-1616-1                    
   UBV 21553                            V* mu. Cep                           YZ 58 12465                        
   [KW97] 59-21                         [LFO93] 2141+58                      2MASS J21433045+5846480            
   Cl Trumpler 37 1319                  Cl* Trumpler 37 MMU 1319             PLX 5252.00                        
   WDS J21435+5847A                     WEB 19372                            Gaia DR2 2202630001591176064       

Bibcodes  1850-2023 () (659):
  2023A&A...669A..56Q  2023A&A...670A..62L  2023A&A...675A..46C  2023AJ....166...78A
  2004A&A...424..145P  2004ApJS..152..201G  2004ApJS..152..251V  2004MNRAS.348L..13B
  2004MNRAS.353..903G  2004PASJ...56S...1K  2004SSRv..113..409P  2003A&A...397..997P
  2003A&A...398.1007K  2003A&A...407..609K  2003AJ....125.1480A  2003AJ....126.2502M
  2003Ap.....46...18P  2003ApJ...582L..35J  2003ApJ...583..923L  2003ApJ...594..483S
  2003ApJ...597..323B  2003IAUS..212..228S  2003KFNT...19c.193K  2003MNRAS.338..857V
  2003MNRAS.340.1173B  2002A&A...384..965B  2002A&A...386..492R  2002A&A...390.1033V
  2002A&A...395..189F  2002AJ....124.2207P  2002MNRAS.334...94B  2002yCat.2237....0D
  2001A&A...366..106M  2001A&A...367..521P  2001A&A...369..132K  2001A&A...372..885G
  2001A&A...375..950B  2001A&A...376L...1T  2001AJ....121..984S  2001AJ....122.2017S
  2001ARA&A..39..353Q  2001Ap.....44..335K  2001ApJ...558..815L  2001ApJ...561..282K
  2001BaltA..10..589A  2001IBVS.5015....1S  2001IBVS.5183....1M  2001MNRAS.327..233F
  2001PASJ...53..259I  2001PASP..113..142G  2001PASP..113..983P  2000A&A...357..225J
  2000A&A...357..850B  2000A&A...361..167L  2000A&AS..143..211B  2000AAS...197.4614P
  2000AJ....120.2383H  2000Ap.....43..162D  2000ApJ...530..307C  2000ApJ...538..801T
  2000ApJ...540L..99T  2000MNRAS.312..327S  1999A&A...349..203M  1999A&AS..134..255K
  1999A&AS..137..521M  1999A&AS..139..461A  1999AJ....117..354D  1999AJ....117.1609S
  1999AJ....118...35N  1999AJ....118.1338H  1999AcApS..19..193S  1999ApJS..123..283M
  1999JBAA..109..151W  1999PASJ...51..197Y  1999SSRv...90..493I  1998A&A...329..219P
  1998A&A...334.1016G  1998A&A...334.1037H  1998A&A...335..287L  1998A&ARv...8..145D
  1998A&AS..128..447V  1998A&AS..130....1N  1998AJ....115..938B  1998Ap&SS.255..415T
  1998Ap&SS.258..337Q  1998ApJS..119..141S  1998BASI...26..479M  1998MNRAS.297..624H
  1998MNRAS.298..131B  1998MNRAS.301.1083S  1997A&A...318..535G  1997A&A...319..607C
  1997A&A...323L..49P  1997A&A...326..300M  1997A&AS..123....5C  1997AAHam..11....1K
  1997AJ....114.1602L  1997Ap&SS.251..143M  1997ApJ...487..847W  1997ApJS..111..445W
  1997ApJS..112..557K  1997Ast....25a..54K  1997JBAA..107..135B  1997PASP..109.1085S
  1996A&A...309..581W  1996A&A...314..131S  1996A&A...314..585G  1996A&A...314..883B
  1996A&AS..117...93S  1996AJ....112.1988B  1996ARep...40..693T  1996ApJ...472..153G
  1996ApJ...472..806J  1996PASP..108..139P  1995A&A...293..594B  1995A&A...298..869M
  1995A&AS..109..177W  1995A&AS..111..237L  1995A&AS..114..269D  1995AJ....109.1797E
  1995AJ....110.2910H  1995Ap.....38..303V  1995ApJ...439..623S  1995ApJ...444..452S
  1995ApJ...447..721P  1995ApJ...452...82C  1995ApJ...454L.161K  1995GCTP..C......0V
  1995PAZh...21..331D  1994A&A...281..161A  1994A&AS..106..413H  1994Afz....37..235V
  1994ApJ...421..101D  1994ApJ...430..317G  1994Ast....22c..32K  1994BOBeo.150...41J
  1994MNRAS.267..225S  1994PASJ...46..629T  1994RMxAA..29..175W  1993A&A...270..315D
  1993A&AS...99..291L  1993AJ....105.1860C  1993Ap&SS.210..123P  1993ApJ...406..215Q
  1993ApJ...417L..79L  1993MNRAS.265L..41A  1993PASP..105..322H  1993PASP..105..832C
  1993yCat.3135....0C  1992A&A...253..475A  1992A&A...254L..17C  1992A&AS...94..211G
  1992AJ....104..275E  1992ApJ...394..139G  1992ApJ...397..260W  1992ApJS...78..403K
  1992IBVS.3739....1L  1992JApA...13..241P  1992MNRAS.258..800A  1992PASJ...44L.259M
  1991A&A...249..465L  1991ATsir1548...17P  1991BAAS...23.1386Q  1991JAVSO..20...41G
  1990A&A...229..494H  1990A&A...231..431A  1990A&AS...86..513M  1990ApJ...361..570H
  1990ApJS...73..769J  1990Ast....18j..30K  1990BAAS...22.1249H  1990JAVSO..19...47M
  1990PASJ...42..419N  1990PASP..102..190L  1990VeSon..10..421K  1989A&A...208...77H
  1989A&A...210..198L  1989A&AS...78..511P  1989A&AS...81..323E  1989AJ.....97.1120S
  1989ApJ...336..822K  1989ApJ...337..927S  1989ApJ...340.1103H  1989ApJ...342L..43L
  1989ApJS...71..245K  1989BAAS...21.1112H  1989BICDS..36...27G  1989JAF....34R..22L
  1989MitVS..12....9G  1989PASP..101.1140L  1989PASP..101.1166L  1989S&T....77..180M
  1989TarOT..94....1N  1988AJ.....95..141S  1988AJ.....96..337K  1988AJ.....96.1884H
  1988BAAS...20..724L  1988BAAS...20.1104L  1988BICDS..35...37K  1988IUE88...1..253P
  1988IUE88...2...11M  1988MNRAS.235..603S  1988MitVS..11..119B  1988VilOB..80....7S
  1987A&A...188..131M  1987AJ.....94..771D  1987AJ.....94..981L  1987Ap&SS.136..133P
  1987IAUS..122..221V  1987IAUS..122..253H  1987IAUS..122..307R  1987IAUS..122..377T
  1987LNP87.291..164C  1987LNP87.291..380S  1987PASP...99....5H  1987PZ.....22..505B
  1987RMxAA..14..380H  1986A&A...154....1M  1986A&A...164..310B  1986A&A...165L...9M
  1986A&AS...65..607O  1986AJ.....91..602D  1986ApJ...308..859S  1986ApJS...62..147B
  1986ApJS...62..501K  1986Aster..96...15A  1986IrAJ...17..288D  1986JAVSO..15...15K
  1986MNRAS.222..273R  1986S&T....72..130K  1985A&A...142..451P  1985A&A...145..430A
  1985AbaOB..59...83B  1985Afz....22..335V  1985Ap&SS.109..191G  1985ApJ...292..640K
  1985ApJS...57...91E  1985BICDS..29...25K  1985IAUC.4137....0L  1985MNRAS.215..425R
  1985Obs...105..229S  1984A&A...135..325I  1984A&A...138..246D  1984AJ.....89..172T
  1984AJ.....89.1366S  1984Afz....20..195E  1984Afz....21..125P  1984ApJ...281..303G
  1984ApJ...285..637B  1984IAUC.4008....0M  1984IAUS..108..145H  1984JAVSO..13...31W
  1984JAVSO..13...67H  1984MNRAS.208..481R  1984MNRAS.211..535R  1983A&A...124..256B
  1983A&A...128..335P  1983A&AS...51..463W  1983AJ.....88..666K  1983Ap&SS..94..333H
  1983Ap&SS..97..405H  1983ApJ...266..701K  1983ApJ...266L..17F  1983ApJ...269..335H
  1983ApJ...272..175R  1983ApJ...274..286H  1983ApJ...274L..77D  1983BICDS..24...19K
  1983PASP...95..786D  1982A&A...111..295M  1982ApJ...254..136D  1982ApJ...260..655Z
  1982ApJ...262..201R  1982BICDS..23...53H  1982IBVS.2064....1H  1982MNRAS.200..197R
  1982PASP...94..835H  1981A&AS...44..179P  1981AJ.....86..392S  1981AJ.....86.1930B
  1981ApJ...246..184B  1981BICDS..21...26B  1981IBVS.1984....1H  1981PZ.....21..465K
  1980AJ.....85.1513S  1980AcA....30..453G  1980ApJS...42..541K  1980IBVS.1859....1A
  1980MNRAS.193..207A  1980MNRAS.193p...1R  1979ARA&A..17..275C  1979Ap&SS..61..205A
  1979ApJ...228..838S  1979ApJ...228L.115K  1979ApJ...233..611F  1979MNRAS.186...21M
  1979PASJ...31..667K  1978A&A....64..253M  1978A&A....68L..23T  1978AJ.....83...32D
  1978ApJ...221..788C  1978ApJ...222..209W  1978ApJ...222L..37H  1978ApJS...38....1H
  1978ApJS...38..309H  1978PASP...90..492L  1978PZ.....20..523P  1978PZ.....20..563K
  1978PZ.....21..132K  1977AN....298..121B  1977ATsir.938....1K  1977ATsir.938....2K
  1977ApJ...214..773I  1977ApJ...214L..79B  1977ApJ...215..176S  1977PASJ...29..511N
  1977PZ.....20..413K  1977PZ.....20..441K  1977PZ.....20..446K  1977SvA....21..715D
  1976A&A....46...11A  1976A&A....46..391B  1976A&A....52..227B  1976AJ.....81..641K
  1976ApJ...204L..41S  1976ApJ...205..448B  1976ApJ...205..455I  1976ApJ...205..823W
  1976ApJ...207..799A  1976ApJ...207L..83S  1976ApJ...208..414Z  1976ApJS...32..115S
  1976PASP...88..285M  1976PASP...88..865G  1975A&A....42..251S  1975A&AS...22..171H
  1975AJ.....80..512B  1975AJ.....80..602S  1975AJ.....80..828U  1975AJ.....80.1026A
  1975Ap.....10...36P  1975ApJ...195..359K  1975ApJ...198L..41R  1975ApJ...201L..81H
  1975IBVS..967....1G  1975MmSAI..46..231B  1974AJ.....79...34K  1974AJ.....79..678S
  1974Ap.....10...36P  1974ApJ...187L..13M  1974ApJ...188..553F  1974PASP...86..772F
  1973A&A....25..371K  1973AJ.....78..477S  1973AJ.....78.1074O  1973ApJ...186..193M
  1973PASP...85..289E  1973PROE....9...48S  1972A&A....16..329G  1972A&A....17..385W
  1972A&A....21..239H  1972AJ.....77..576W  1972ApJ...175..693C  1972ApJ...177..427J
  1972ApJ...177L..17S  1972ApJ...178..715G  1972PASP...84..613N  1972PASP...84..643S
  1971A&A....10..290S  1971AJ.....76..431D  1971AJ.....76..901D  1971ApJ...164...83G
  1971ApJ...165...57D  1971ApJ...165..285G  1971ApJ...166L..49C  1971MNRAS.155..203H
  1970A&A.....4..268G  1970A&AS....1..199H  1970AJ.....75..158F  1970AJ.....75..785J
  1970ApJ...159..973W  1970ApJ...160..531L  1970ApJ...160..545W  1970ApJ...160.1149H
  1970ApJ...160L.101M  1970ApJ...161L.105G  1970ApJ...161L.219G  1970ApJ...162..217L
  1970BAICz..21...54S  1970MNRAS.147..303G  1970PASP...82..765L  1969AJ.....74..177W
  1969ApJ...155L.181W  1969ApJ...155L.189K  1969ApJ...155L.197S  1969ApJ...156..389D
  1969ApJ...158..151K  1969ApJ...158..619H  1969MNRAS.143...73B  1969PASP...81..297C
  1968AJ.....73...20C  1968AJ.....73..313M  1968AJ.....73..677K  1968ApJ...152..123V
  1968ApJ...153..187O  1968ApJ...154..677G  1968ApJ...154..923S  1968ZA.....68..309G
  1967AJ.....72..838Z  1967ApJ...147..587M  1967ApJ...149..345J  1967ApJ...150..349A
  1967JO.....50..359H  1967JO.....50..381E  1966AJ.....71..355C  1966AnAp...29..525J
  1966JRASC..60...15S  1966MNRAS.132..485F  1966SvA....10...47M  1966SvA....10..619O
  1966ZA.....64...32W  1965AJ.....70..726S  1965AnAp...28..218W  1965ApJ...141..116D
  1965ApJ...141..923J  1965ApJ...141..965S  1964AJ.....69..684H  1964ApJ...139..435W
  1964ApJ...139.1130L  1964ApJ...140..833W  1964ArA.....3..285L  1964MmSAI..35...97R
  1963AJ.....68..253H  1963AJ.....68..435B  1963PASP...75..182F  1963SvA.....7..806S
  1962JO.....45..117B  1962JO.....45..257P  1962ZA.....55..166N  1961ApJS....6....1K
  1960JO.....43...79P  1960MNRAS.120..287G  1960MNRAS.121...52D  1959AbaOB..24....3D
  1958ApJ...128..510N  1957ApJ...125..661W  1957ApJ...126...99B  1957PASP...69..442M
  1957PASP...69..457K  1956ApJ...123..210D  1956ApJ...123..440S  1956ApJ...124..342S
  1956PASJ....8..142Y  1955AJ.....60..401E  1955AnAp...18..292J  1955ApJ...121..144C
  1954AJ.....59...12A  1954AJ.....59..396B  1954POPot..29e...1H  1953ApJ...117..313J
  1953GCRV..C......0W  1952AJ.....57..193Y  1952JO.....35...61N  1951AJ.....56..200W
  1951ApJ...113...72A  1951ApJ...114..241H  1950ApJ...112..362M  1938POPot..29a...1H
  1937ApJ....86..509H  1926ApJ....64..225A  1906MNRAS..66..104B            

Measures (herschel:2  ISO:19  IUE:12  MK:14  PLX:5  PM:6  V*:1  velocities:10  ):
herschel:2ISO:19IUE:12MK:14PLX:5PM:6V*:1velocities:10

Notes (1) :
(S) 01-Jan-2000 - com    ref:~    obj:~
    Not to be confused with the Variable Star \object{V* MU Cep}

================================================================================

