C.D.S.  -  SIMBAD4 rel 1.7  -  2021.08.24CEST02:40:26

HD137759
--------

Object * iot Dra  ---  V*  ---  OID=@444249   (@@8880,7)  ---  coobox=1276

Coordinates(ICRS,ep=J2000,eq=2000): 15 24 55.7746265  +58 57 57.834445 (Opt ) A [0.09 0.09 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 15 23 48.7561376  +59 08 26.232675
Coordinates(Gal,ep=J2000,eq=2000): 093.9710661549  +48.6277781618
hierarchy counts: #parents=0, #children=1, #siblings=0
Proper motions: -8.36 17.08 [0.08 0.10 90] A 2007A&A...474..653V
Parallax: 32.23 [0.10] A 2007A&A...474..653V
Radial Velocity: -10.912 [0.0010] A 2018A&A...616A...7S
Redshift: -0.000036 [0.000000] A 2018A&A...616A...7S
cz: -10.91 [0.00] A 2018A&A...616A...7S
Flux U : 5.68 [~] C 2002yCat.2237....0D
Flux B : 4.45 [~] C 2002yCat.2237....0D
Flux V : 3.29 [~] C 2002yCat.2237....0D
Flux G : 2.8471 [0.0037] C 2018yCat.1345....0G
Flux R : 2.51 [~] C 2002yCat.2237....0D
Flux I : 1.91 [~] C 2002yCat.2237....0D
Flux J : 1.38 [~] C 2002yCat.2237....0D
Flux H : 0.724 [0.146] C 2003yCat.2246....0C
Flux K : 0.68 [~] C 2002yCat.2237....0D
Spectral type: K2III B 1989ApJS...71..245K
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (41):
   TIC 165722603                   PLX 3490                        * 12 Dra                      
   * iot Dra                       AG+59 999                       BD+59 1654                    
   CCDM J15250+5859A               DO 34945                        FK5 571                       
   GC 20747                        GCRV 8925                       GEN# +1.00137759              
   GSC 03875-01620                 HD 137759                       HIC 75458                     
   HIP 75458                       HR 5744                         IRAS 15238+5908               
   IRC +60233                      JP11 2606                       N30 3475                      
   NSV 7077                        PMC 90-93 405                   PPM 34972                     
   ROT 2187                        SAO 29520                       SKY# 27902                    
   TD1 18258                       TYC 3875-1620-1                 UBV 13273                     
   UBV M 20785                     YZ 0 8366                       [HFE83] 1103                  
   uvby98 100137759                Gaia DR2 1614731957530945280    PLX 3490.00                   
   WDS J15249+5858A                ** BUP 162A                     2MASS J15245578+5857577       
   NAME Edasich                    WEB 12868                                                     

Bibcodes  1850-2021 () (378):
  2021A&A...646A.130A  2021A&A...648A..58N  2020AJ....160...84G  2020AJ....160..225K
  2010ApJ...709..168A  2010ApJ...720.1644K  2010ApJ...725..721G  2010ApJ...725..875I
  2010ApJS..187..149A  2010ApJS..190..203P  2010MNRAS.402.2609I  2010PASJ...62.1117A
  2009A&A...498..527O  2009A&A...499..935D  2009A&A...505.1311D  2009ApJ...700L..73K
  2009ApJS..185..289R  2009MNRAS.394.1229C  2009MNRAS.394.1695R  2009MNRAS.396.1895C
  2008A&A...480...91S  2008A&A...480..215H  2008A&A...489..885M  2008A&A...491..531Z
  2008AJ....135..209M  2008ApJ...673..283R  2008ApJ...687.1339K  2008BASI...36....1M
  2008MNRAS.389..869E  2008PASJ...60..539S  2008PASJ...60.1317S  2008PASP..120..328L
  2007A&A...472..649D  2007A&A...473..979P  2007A&A...475.1003H  2007ApJ...661..616H
  2007ApJ...669.1354N  2007ApJS..171..146S  2007JHA....38..222W  2007MNRAS.374..664C
  2007PASP..119..994E  2006A&A...445..633E  2006A&A...449..699R  2006A&A...449..723G
  2006A&A...456.1045B  2006A&A...457..335H  2006AJ....131.2274S  2006ARep...50..134K
  2006ApJ...644..543H  2006ApJ...646..505B  2006ApJ...646..523R  2006ApJ...649.1010J
  2006ApJ...652..661R  2006AstL...32..759G  2006JRASC.100..127F  2006MNRAS.371..703S
  2006MNRAS.371..879K  2005A&A...430..165F  2005A&A...431..773R  2005A&A...433..151Z
  2005A&A...437..743H  2005A&A...438..251B  2005A&A...443..609S  2005AJ....130.2666P
  2005ApJ...622.1091J  2005ApJ...622.1102F  2005ApJ...626..411R  2005ApJ...626..446R
  2005ApJ...627..974L  2005ApJ...632L.131S  2005MNRAS.356.1053S  2005MNRAS.356.1440D
  2005MNRAS.364...29P  2005PASJ...57..127S  2004A&A...415.1153S  2004A&A...423..221S
  2004A&A...426..619E  2004ApJ...609..417R  2004ApJ...612..511L  2004ApJ...613..312F
  2004ApJS..151..387I  2004ApJS..152..251V  2004Icar..168..223A  2004MNRAS.347..173S
  2004MNRAS.354.1194S  2003A&A...398..363S  2003A&A...398L..19S  2003A&A...402..433L
  2003A&A...404..715B  2003A&A...405..753I  2003AJ....126.2048G  2003ApJ...597L.157S
  2003BASI...31...37V  2002A&A...385.1095P  2002A&A...386..492R  2002A&A...393..183B
  2002AGAb...19R..11F  2002ApJ...576..478F  2002ApJ...578..565B  2002S&T...104b..32K
  2002yCat.2237....0D  2001A&A...365..222G  2001A&A...367..521P  2001A&A...369.1048P
  2001A&A...373..159C  2001BaltA..10..593A  2000ApJ...535..644Y  2000ApJ...539..732A
  1999A&A...352..495M  1999A&AS..134..523T  1999A&AS..137..269M  1999A&AS..139...29G
  1999A&AS..139..433D  1999AJ....117.1864C  1999AcA....49..319P  1999ApJ...517..549R
  1999PASP..111..335W  1999VeARI..35....1W  1998A&A...335..591S  1998A&A...338..623M
  1998A&A...339..858D  1998AJ....116.2297P  1998BASI...26..479M  1998PASP..110..794S
  1997A&AS..124..299C  1997AJ....114..850S  1997ApJ...487..847W  1997ApJ...488..202S
  1997ApJS..111..377W  1997ApJS..112..557K  1997PNAOJ...5....1Y  1996A&A...310..801H
  1996ApJ...468L..81T  1996BaltA...5..357K  1996BaltA...5..603A  1995A&AS..114..269D
  1995GCTP..C......0V  1994A&A...286.1006O  1994A&AS..106..413H  1994AJ....107..594E
  1994ApJ...433L..57C  1994ApJ...436L.165S  1994ApJS...94..687W  1994PAZh...20..864B
  1993A&AS..101..551L  1993A&AS..102..389N  1993ApJS...86..153G  1993PASP..105.1422P
  1993yCat.3135....0C  1992A&A...254..105G  1992A&AS...95..273C  1992A&AS...96..477V
  1992AZh....69..829B  1992ApJS...82..197F  1992PPMtO..11..184X  1991A&A...248..367Z
  1991A&A...250..400F  1991A&A...252..203R  1991AJ....102..763B  1991ApJS...76..715T
  1991IzKry..83..102B  1991Obs...111..299G  1991TrSht..62..119S  1990AJ.....99.1243T
  1990ApJ...364..272F  1990ApJS...74.1075M  1990PBeiO..16...18L  1989A&AS...78..511P
  1989ApJS...71..245K  1989BICDS..36...27G  1989PBeiO..14...12L  1988A&AS...73....1V
  1988BICDS..35...37K  1988PASJ...40..475W  1988PBeiO..11...21L  1988VilOB..80....7S
  1987A&A...185..233V  1987AJ.....94..771D  1987ApJS...63..983J  1987BAICz..38...24H
  1987RMxAA..14..385M  1987TarOT..84...25M  1986A&AS...65..607O  1986Afz....25..309C
  1986ApJS...60..577T  1986ApJS...62..147B  1986ApJS...62..899O  1985A&AS...59..145C
  1985AJ.....90.1349B  1985AJ.....90.1870I  1985ApJS...57..711F  1985BICDS..29...25K
  1984A&A...133..363K  1983A&A...119....1C  1983A&AS...53..223H  1983ApJ...265L..77H
  1983ApJ...268..264M  1983BICDS..24...19K  1982A&A...106..115E  1982A&A...115..145K
  1982ApJ...260..655Z  1980A&AS...41..405C  1980AcA....30..453G  1980ApJ...238..221S
  1980ApJ...238L..35M  1980ApJ...240..768P  1980ApJS...42..541K  1980ApJS...44..383S
  1980BICDS..19...41H  1979A&A....71..178E  1979AN....300...99G  1979PASP...91..180M
  1978A&AS...31..159B  1978AJ.....83.1430C  1978PASP...90..288M  1976A&A....46..391B
  1976AJ.....81..993G  1976ApJ...205..823W  1976ApJ...208..414Z  1975MNRAS.170..343W
  1975MNRAS.173..299B  1975PASP...87..259B  1975PASP...87..537K  1974A&A....34...99G
  1974AJ.....79...34K  1974ApJ...190..591R  1974MNRAS.167..359W  1974MNRAS.167..539A
  1974PASP...86..129E  1973AJ.....78.1074O  1973ApJ...184..427B  1973PASP...85..379E
  1972MNRAS.160..129R  1971A&A....15..123H  1971AJ.....76..431D  1971ApJ...165..561J
  1971MNRAS.153..171W  1971MNRAS.155..215W  1970A&AS....1..199H  1970AJ.....75...41M
  1970AJ.....75..978C  1970MNRAS.147..303G  1969AJ.....74...91L  1969AJ.....74.1155H
  1969ApJ...158..225E  1969PASP...81..657S  1968MNRAS.140...21P  1968PASP...80..717Y
  1967AJ.....72.1357M  1966AJ.....71..615W  1966ApJ...144.1101M  1966MNRAS.133...99S
  1966MNRAS.134..135P  1964MNRAS.127..493D  1964MNRAS.128..435P  1964MNRAS.128..475P
  1963ApJ...137.1057S  1963MNRAS.125..557A  1963SvA.....7..283N  1962AJ.....67..757Y
  1961ApJ...134..809Y  1961MNRAS.122..181G  1960MNRAS.120..287G  1960MNRAS.121...52D
  1959ApJ...129..362B  1958AnAp...21...26G  1958ApJ...128..604H  1957AJ.....62...45E
  1957ApJ...125..661W  1956AJ.....61..361E  1955AJ.....60...65E  1955AnAp...18..292J
  1955ApJ...121...38G  1955ApJ...121..118H  1954AJ.....59..233M  1953ApJ...117..313J
  1953ApJ...118...92M  1953GCRV..C......0W  1952ApJ...116..122R  1950ZA.....27....1M
  1922ApJ....56...40M  1908ApJ....27..301K                        

Measures (diameter:1  distance:1  Fe_H:29  ISO:15  IUE:3  MK:21  PLX:4  PM:6  ROT:4  V*:1  velocities:18  ):
diameter:1distance:1Fe_H:29ISO:15IUE:3MK:21PLX:4PM:6ROT:4V*:1velocities:18

Notes (1) :
(S) 21-Sep-2005 - fo    ref:~    obj:HIP 75458
    A substellar companion \object{HD 137759b} was discovered by Frinck et al.
    (2002ApJ...576..478F, see also \exosun{HIP 75458} in the \exoEncyclopedie). The
    faint stellar companion is \object{HD 238461}.

================================================================================

