C.D.S.  -  SIMBAD4 rel 1.8  -  2023.09.29CEST08:22:56

HD57150
-------

Object * ups01 Pup  ---  Be*  ---  OID=@965452   (@@12567,0)  ---  coobox=7899

Coordinates(ICRS,ep=J2000,eq=2000): 07 18 18.3933493  -36 44 02.232922 (Opt ) A [0.13 0.15 90] 2007A&A...474..653V
Coordinates(FK4,ep=B1950,eq=1950): 07 16 31.6739714  -36 38 30.379652
Coordinates(Gal,ep=J2000,eq=2000): 248.7797540023  -10.9116902809
hierarchy counts: #parents=0, #children=0, #siblings=0
Proper motions: -10.25 5.82 [0.15 0.18 90] A 2007A&A...474..653V
Parallax: 4.06 [0.18] A 2007A&A...474..653V
Radial Velocity: 18.6 [2] E 1953GCRV..C......0W
Redshift: 0.000062 [0.000007] E 1953GCRV..C......0W
cz: 18.60 [2.00] E 1953GCRV..C......0W
Flux U : 3.78 [~] C 2002yCat.2237....0D
Flux B : 4.57 [~] C 2002yCat.2237....0D
Flux V : 4.67 [~] C 2002yCat.2237....0D
Flux G : 4.5236 [0.0043] C 2018yCat.1345....0G
Flux R : 4.57 [~] C 2002yCat.2237....0D
Flux I : 4.62 [~] C 2002yCat.2237....0D
Flux J : 4.81 [~] C 2002yCat.2237....0D
Flux H : 4.666 [0.036] C 2003yCat.2246....0C
Flux K : 4.516 [0.023] C 2003yCat.2246....0C
Spectral type: B2V+B3IVne C 1982MSS...C03....0H
Morphological type: ~ ~ ~
Angular size:     ~     ~   ~ (~)  ~ ~

Identifiers (47):
   HIP 35363                            Gaia DR3 5589411172768195840         WISEA J071818.39-364402.3          
   TIC 23037766                         2MASS J07181839-3644023              Cl* Collinder 135 CK 2             
   Cl* Collinder 135 B 8                [JE82] 297                           ALS 312                            
   CCDM J07184-3645A                    CD-36 3512                           CEL 1759                           
   CPC 18 2955                          CPD-36 1225                          Cl* Collinder 135 GA c             
   EM* MWC 173                          GC 9733                              GCRV 4839                          
   GEN# +1.00057150                     GSC 07115-03016                      HD 57150                           
   HIC 35363                            HR 2787                              Hen 3-29                           
   IDS 07147-3633 A                     JP11 1535                            LS 312                             
   PPM 283776                           ROT 1177                             SAO 197824                         
   SKY# 13248                           TD1 9770                             TYC 7115-3016-1                    
   UBV 7111                             UBV M 13183                          V* NV Pup                          
   [B10] 1907                           WDS J07183-3644A                     * ups01 Pup                        
   IRAS 07165-3638                      AKARI-IRC-V1 J0718183-364402         WISE J071818.40-364402.1           
   ** JC 10A                            UCAC4 267-015277                     uvby98 100057150                   
   WEB 7058                             Gaia DR2 5589411172766672896                                            

Bibcodes  1850-2023 () (152):
  2022MNRAS.511.3428K  2022MNRAS.511.4404S  2021A&A...645L...8X  2021A&A...656A..57L
  1977A&AS...27..443G  1977AcA....27..365J  1977IBVS.1248....1K  1976ApJS...30..491H
  1975IBVS..969....1V  1975PASP...87..603F  1974A&A....30..465P  1974MNRAS.169..171F
  1973A&AS....9..297F  1973SAOSR.350....1D  1972A&AS....5..129L  1971PW&SO...1a...1S
  1970AJ.....75..624C  1970PASP...82..132F  1969A&A.....3..485J  1969ApJ...157..313H
  1968AJ.....73..338C  1968ApL.....2..239H  1968ZA.....68...29F  1967JO.....50..237B
  1966RGOB..121....3C  1965BOTT....4...33I  1965PASP...77..376J  1964BAAA....6...26R
  1964IzKry..31...44B  1964PLPla..28....1J  1964ZA.....58..217S  1964ZA.....59..108J
  1962AJ.....67..491R  1961ApJS....6..253I  1955AJ.....60...65E  1955MmMtS..12....0W
  1953ApJ...118..511K  1953GCRV..C......0W  1933ApJ....78...87M  1930MmMtS...2....0R
  1925ApJ....61..389M  1914ApJ....40...43K  1895ApJ.....2..177C  1892AstAp..11..765F

Measures (distance:2  Fe_H:2  IUE:2  MK:7  PLX:3  PM:4  ROT:3  velocities:4  ):
distance:2Fe_H:2IUE:2MK:7PLX:3PM:4ROT:3velocities:4

Notes (0) :

================================================================================

